Commit Log for Sun Jan  3 19:15:08 2016


Instaló los siguientes paquetes:
java-wrappers (0.1.28)
libapache-pom-java (10-2build1)
libcommons-codec-java (1.10-1)
libcommons-httpclient-java (3.1-11ubuntu1)
libcommons-logging-java (1.2-1ubuntu1)
libcommons-parent-java (22-2build1)
libdom4j-java (1.6.1+dfsg.3-2ubuntu1)
libjaxen-java (1.1.6-1ubuntu1)
libjdom1-java (1.1.3-1)
libjgoodies-common-java (1.4.0-2)
libjgoodies-looks-java (2.5.2-3)
liblog4j1.2-java (1.2.17-6ubuntu1)
libxerces2-java (2.11.0-7)
libxml-commons-external-java (1.4.01-2build1)
libxml-commons-resolver1.1-java (1.2-7build1)
libxom-java (1.2.10-1)
libxpp2-java (2.1.10-7build1)
libxpp3-java (1.1.4c-2build1)
pdfsam (1.1.4-2)
