Commit Log for Thu Dec 10 22:49:18 2015


Instaló los siguientes paquetes:
ca-certificates-java (20140324)
default-jre (2:1.7-52)
default-jre-headless (2:1.7-52)
java-common (0.52)
libatk-wrapper-java (0.33.3-3)
libatk-wrapper-java-jni (0.33.3-3)
libhsqldb1.8.0-java (1.8.0.10+dfsg-3ubuntu1)
libreoffice (1:5.0.2-0ubuntu1)
libreoffice-avmedia-backend-gstreamer (1:5.0.2-0ubuntu1)
libreoffice-base (1:5.0.2-0ubuntu1)
libreoffice-base-drivers (1:5.0.2-0ubuntu1)
libreoffice-gnome (1:5.0.2-0ubuntu1)
libreoffice-gtk (1:5.0.2-0ubuntu1)
libreoffice-impress (1:5.0.2-0ubuntu1)
libreoffice-java-common (1:5.0.2-0ubuntu1)
libreoffice-report-builder-bin (1:5.0.2-0ubuntu1)
libreoffice-sdbc-firebird (1:5.0.2-0ubuntu1)
libreoffice-sdbc-hsqldb (1:5.0.2-0ubuntu1)
libreoffice-style-breeze (1:5.0.2-0ubuntu1)
libreoffice-style-elementary (15.10.5)
libreoffice-style-hicontrast (1:5.0.2-0ubuntu1)
libreoffice-style-human (1:5.0.2-0ubuntu1)
libreoffice-style-oxygen (1:5.0.2-0ubuntu1)
libreoffice-style-sifr (1:5.0.2-0ubuntu1)
libreoffice-style-tango (1:5.0.2-0ubuntu1)
libreoffice-templates (0.1.20120814-0ubuntu3)
libsctp1 (1.0.16+dfsg-2)
libservlet3.0-java (7.0.64-1)
lksctp-tools (1.0.16+dfsg-2)
openjdk-7-jre (7u91-2.6.3-0ubuntu0.15.10.1)
openjdk-7-jre-headless (7u91-2.6.3-0ubuntu0.15.10.1)
tzdata-java (2015g-1)
