Commit Log for Thu Dec 10 23:29:03 2015


Instaló los siguientes paquetes:
libclass-data-inheritable-perl (0.08-2)
libcommon-sense-perl (3.74-1)
libcrypt-openssl-bignum-perl (0.06-1)
libcrypt-openssl-rsa-perl (0.28-2build1)
libdata-random-perl (0.12-1)
libextutils-depends-perl (0.404-1)
libextutils-pkgconfig-perl (1.15-1)
libgd-perl (2.53-1build1)
libgnome2-canvas-perl (1.002-3build1)
libgnome2-gconf-perl (1.044-5build1)
libgnome2-perl (1.046-1)
libgnome2-vfs-perl (1.082-1build1)
libgnome2-wnck-perl (0.16-3build1)
libgoo-canvas-perl (0.06-2build1)
libgtk2-appindicator-perl (0.15-1build2)
libgtk2-imageview-perl (0.05-2build1)
libgtk2-unique-perl (0.05-2build1)
libhttp-server-simple-perl (0.50-1)
libjson-perl (2.90-1)
libjson-xs-perl (3.010-2)
libmouse-perl (2.4.2-1)
libnet-dropbox-api-perl (1.9-1)
libnet-oauth-perl (0.28-2)
libpath-class-perl (0.35-1)
libproc-processtable-perl (0.51-1)
libproc-simple-perl (1.31-1)
libsort-naturally-perl (1.03-1)
libtypes-serialiser-perl (1.0-1)
libwww-mechanize-perl (1.75-1)
libxml-namespacesupport-perl (1.11-1)
libxml-sax-base-perl (1.07-1)
libxml-sax-expat-perl (0.40-2)
libxml-sax-perl (0.99+dfsg-2ubuntu1)
libxml-simple-perl (2.20-1)
shutter (0.92-0.1ubuntu1)
