Commit Log for Mon Jan 18 15:51:30 2016


Instaló los siguientes paquetes:
chromium-codecs-ffmpeg-extra (47.0.2526.106-0ubuntu0.15.10.1.1218)
gstreamer0.10-fluendo-mp3 (0.10.29.debian-1ubuntu1)
gstreamer0.10-plugins-bad (0.10.23-8.1ubuntu3)
gstreamer0.10-plugins-bad-multiverse (0.10.21-1ubuntu3)
gstreamer0.10-plugins-base (0.10.36-2)
gstreamer0.10-plugins-ugly (0.10.19-2.1ubuntu3)
gstreamer1.0-fluendo-mp3 (0.10.29.debian-1ubuntu1)
gstreamer1.0-plugins-ugly (1.6.0-1ubuntu1)
gstreamer1.0-plugins-ugly-amr (1.6.0-1ubuntu1)
libcdaudio1 (0.99.12p2-13)
libgstreamer-plugins-bad0.10-0 (0.10.23-8.1ubuntu3)
libsidplay1v5 (1.36.59-8)
oxideqt-codecs-extra (1.11.4-0ubuntu0.15.10.1)
ubuntu-restricted-addons (22)
