Commit Log for Tue Feb 16 08:53:22 2016


Instaló los siguientes paquetes:
enca (1.16-1)
giblib1 (1.2.4-10)
juffed (0.10.1054.0+bzr1073+201601242201~ubuntu15.10.1)
libc-ares2 (1.10.0-2)
libfm-qt5-2 (0.10.0+201511240519~ubuntu15.10.1)
libfm-qt5-data (0.10.0+201511240519~ubuntu15.10.1)
libkf5screen6 (4:5.4.2-0ubuntu1)
liblxqt-data (0.10.0+201602120816~ubuntu15.10.1)
liblxqt-globalkeys-ui0 (0.10.0+201512221510~ubuntu15.10.1)
liblxqt-globalkeys0 (0.10.0+201512221510~ubuntu15.10.1)
liblxqt0 (0.10.0+201602120816~ubuntu15.10.1)
libobrender32 (3.6.1-1ubuntu2)
libobt2 (3.6.1-1ubuntu2)
libqt5scintilla2-12v5 (2.9+dfsg-8)
libqt5scintilla2-l10n (2.9+dfsg-8)
libqt5xdg1 (1.3.0+201601201446~ubuntu15.10.1)
libqtermwidget5-0 (0.6.0.0.1~really0.6.0+20150709+201601072322~ubuntu15.10.1)
librecode0 (3.6-21)
libstatgrab9 (0.90-1.2)
libsysstat-qt5-0 (0.3.1+201601221559~ubuntu15.10.1)
libxcb-dpms0 (1.11-0ubuntu1)
libxcb-screensaver0 (1.11-0ubuntu1)
lximage-qt (0.4.0+20150828+201511171036~ubuntu15.10.1)
lxqt-about (0.10.0+201512221532~ubuntu15.10.1)
lxqt-admin (0.10.0+201601011801~ubuntu15.10.1)
lxqt-common (0.10.0+201601221001~ubuntu15.10.1)
lxqt-config (0.10.0+201601181016~ubuntu15.10.1)
lxqt-globalkeys (0.10.0+201512221510~ubuntu15.10.1)
lxqt-metapackage (0.0.1+bzr63+201511231901~ubuntu15.10.1)
lxqt-notificationd (0.10.0+201512221507~ubuntu15.10.1)
lxqt-openssh-askpass (0.10.0+201512221511~ubuntu15.10.1)
lxqt-panel (0.10.0+201602152217~ubuntu15.10.1)
lxqt-policykit (0.10.0+201512221520~ubuntu15.10.1)
lxqt-powermanagement (0.10.0+201512290316~ubuntu15.10.1)
lxqt-qtplugin (0.10.0+201601151546~ubuntu15.10.1)
lxqt-runner (0.10.0+201512220902~ubuntu15.10.1)
lxqt-session (0.10.0+201511231901~ubuntu15.10.1)
lxqt-sudo (0.10.0+201512221508~ubuntu15.10.1)
obconf (1:2.0.4+git20150213-1)
ofono (1.17.bzr6904+15.10.20150928.1-0ubuntu1)
openbox (3.6.1-1ubuntu2)
pcmanfm-qt (0.10.0+201511240519~ubuntu15.10.1)
qterminal (0.6.0.0.1~really0.6.0+20150802+201601072231~ubuntu15.10.1)
qtermwidget5-data (0.6.0.0.1~really0.6.0+20150709+201601072322~ubuntu15.10.1)
scrot (0.8-16)
